"How many hours of programming are you doing per week on average",,,"What programming languages do you use?",,,"What Version Control System do you primarily use?","If your primary work involves programming, then the company that you work at","What IDE or editor do you primarily use for programming?","If you use more than one IDE, what other IDE/editors do you commonly use?",,,"Name other IDE/editors that you have used before",,,"What features do you value the most in your primary editor?","What kind of programming language integration do you value the most in your primary editor?","What features would you like to have in your editor that it doesn't have?","How customized is your editor?","What are the primary reasons that you use editors/IDEs other than your primary?","How do you primarily use your Version Control System?","What are the reasons you are not switching to a different IDE/editor?","If your primary editor/IDE suddenly disappears, what editor/IDE would you use instead?","Have you ever used commercial IDE or editor?","Would you consider using a commercial IDE or editor?","What kind of programming language integration do you value the most in your primary editor?","What kind of programming language integrations would you like to have or have improved in your editor?","If you would be willing to buy a commercial IDE or editor yourself, how much would you be willing to pay for it?"
40,5,3,"Java","JavaScript","PHP","SVN","Does programming as part of it's core activities ","Eclipse",,,,"Emacs",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates with version control system","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance","It's almost the same from the stock configuration","It can be used from terminal","From the primary editor","Too much effort learning new editors, Too much effort configuring new editors","Emacs","No, never","No",,"Code formatting, Refactoring, Code generation",5
30,10,10,"python","javascript",,"git","Does programming as part of it's core activities ","pycharm","sublime text 2",,,"eclipse","netbeans","visual studio","It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","pycharm has everything","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","I don't feel like switching at all, Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","netbeans","Yes, my employer bought it","Yes, if my employer buys it for me",,"Build tool(s) integration",100
0,1,2,"JavaScript","Haskell","Java","Git","I am a student or unemployed","Sublime Text","Vim","Eclipse",,,,,"It supports many programming languages, There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Code formatting","Integration with version control system, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","From some other application","My workflow is too integrated into my current editor","TextMate","Yes, I have personally bought it","Yes, I would buy it myself",,"Code formatting, Refactoring, Debugging",50
45,10,20,"Java","Javascript","Ruby","git","Does programming as part of it's core activities ","IDEA","Vim","Sublime Text 2",,"Emacs","Eclipse",,"It starts up and works very fast, It can be used in terminal, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance, Ability to use it in terminal, Configurability","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","Vim","Yes, I have personally bought it","Yes, I would buy it myself",,"Code generation, Build tool(s) integration, Interactive console/REPL",500
10,5,8,"Python","Javascript",,"git","Sometimes supports other activities with programming or IT","Vim",,,,"Emacs","eclipse",,"There are lots of plugins available, It can be used in terminal, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","Faster start up and overall performance","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","SublimeText","No, never","Yes, I would buy it myself",,"Syntax highlighting",50
40,2,5,"java","python","sql","git","Is primarily doing programming ","idea","vim",,,"eclipse","netbeans","emacs","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Debugging","Better default configuration","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all","vim","Yes, my employer bought it","Yes, I would buy it myself",,"Documentation for language or libraries inside the editor",100
2,0,10,"go","javascript","python","Mercurial","Sometimes supports other activities with programming or IT","Vim","Vim","Visual Studio",,"Eclipse","Net Beans",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Better Debugging Integration","It is extensively configured and I have lots of third-party plugins","It supports the build tools or building proccess that I use better","Directly through terminal","My workflow is too integrated into my current editor","Emacs","Yes, my employer bought it","No",,"Debugging",5
10,0,10,"Python","Objective C","Javascript","git","My primary job is something else than programming","Pycharm","vim",,,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Refactoring, Debugging, vim suppor","Faster start up and overall performance, Ability to use it in terminal","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all, Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","vim","Yes, I have personally bought it","Yes, I would buy it myself",,"Documentation for language or libraries inside the editor",100
30,10,10,"PHP","javascript","go","git","Does programming as part of it's core activities ","Sublime Text","vim",,,"PHPStorm","Netbeans",,"It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting","Nothing","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I love my editor","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"Nothing",50
40,0,10,"C#","JavaScript","C++","Git","Does programming as part of it's core activities ","Visual Studio","Code::Blocks","Sublime Text","vim",,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Refactoring","Faster start up and overall performance, Integration with version control system, Integration to build tool(s) that I use","It's almost the same from the stock configuration","It's faster to use for small editing","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","Sublime Text","Yes, I have personally bought it","Yes, I would buy it myself",,"Test integration, Build tool(s) integration",100
45,0,20,"CSS","HTML","JavaScript","git","Does programming as part of it's core activities ","SublimeText3",,,,"Aptana3","Notepad++","Komodo","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Ability to use it in terminal, Integration to build tool(s) that I use","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","VIM","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion",50
30,5,5,"ruby","c#","java","git","Does programming as part of it's core activities ","vim","eclipse","visual studio",,"netbeans","C++Builder","Dev-C++","Powerful editing functionality, It starts up and works very fast","Refactoring, Debugging, Interactive console/REPL","Faster start up and overall performance, Ability to use it in terminal","There is some configuration and couple of third-party plugins","It can be used from terminal, I use it for editing code on remote servers","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Syntax highlighting, Code formatting, Refactoring",
40,0,20,"scheme","java","ruby","git","Is primarily doing programming ","Emacs",,,,"notepad++","visual studio","eclipse","Powerful editing functionality, There are lots of plugins available, It is very configurable","Syntax highlighting, Interactive console/REPL","Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports the build tools or building proccess that I use better","From the primary editor","I don't feel like switching at all, My workflow is too integrated into my current editor","vim","Yes, I have personally bought it","No",,"Auto-completion, Debugging, Documentation for language or libraries inside the editor","more than $500"
40,10,10,"python","javascript","lua","git","Is primarily doing programming ","Emacs","Sublime Text 2",,,"Vim","WingIDE","Geany","Powerful editing functionality, There are lots of plugins available, It can be used in terminal","Syntax highlighting, Auto-completion, Interactive console/REPL","Faster start up and overall performance, Better default configuration","It is extensively configured and I have lots of third-party plugins","It can be used from terminal, I use it for editing code on remote servers","Directly through terminal","My workflow is too integrated into my current editor","Vim","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Interactive console/REPL",50
10,20,5,"C++","Java","Lua","Git","Does programming as part of it's core activities ","Vim",,,,"Notepad++","Eclipse","Netbeans","Powerful editing functionality, It can be used in terminal, It is very configurable","Syntax highlighting, Auto-completion, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Sublime Text","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Refactoring, Debugging",50
35,10,30,"Clojure","Python","C","git","Is primarily doing programming ","vim",,,,"emacs","Eclipse","IDEA","Powerful editing functionality, There are lots of plugins available, It is very configurable","Syntax highlighting, Debugging, Interactive console/REPL","none, vimscript+python is enough to add any features I require","It is extensively configured and I have lots of third-party plugins",,"From the primary editor","Other editors lack some features that my editor have, My workflow is too integrated into my current editor, vim motion","emacs+evil mode","Yes, my employer bought it","No",,"Debugging, Interactive console/REPL, Documentation for language or libraries inside the editor",100
2,2,1,"powershell","python","shell","github","Sometimes supports other activities with programming or IT","vim","powershell ise","notepad++","macvim",,,,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, Powerful editing functionality","Syntax highlighting, Auto-completion, Code formatting","Tools to navigate the code (go to definition, find uses), Ability to use it in terminal, Integration with version control system","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","From some other application","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","vim","No, but I tried trial versions","No",,"Documentation for language or libraries inside the editor",5
40,5,0,"ruby","javascript","html","subversion","Is primarily doing programming ","Sublime 2",,,,"Eclipse","E texteditor","visual studio","It has advanced language integration (eg auto-completion, refactoring, building), It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Integration with version control system","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","I don't feel like switching at all","vim","Yes, my employer bought it","Yes, I would buy it myself",,"project navigation",25
40,2,5,"C#","Javascript","sql","TFS","Does programming as part of it's core activities ","Visual Studio","sublime text","emacs",,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","Support for many programming languages, Rich plugins ecosystem, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, I use it for editing code on remote servers","From the primary editor","Other editors don't support my languages of choice very well, My workflow is too integrated into my current editor","No clue (for C#)","Yes, my employer bought it","Yes, I would buy it myself",,"Interactive console/REPL",50
20,10,10,"javascript","php","sql","git","Does programming as part of it's core activities ","Sublime Text",,,,"Netbeans","Eclipse","Xamarin Studio","Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","vim","Yes, my employer bought it","Yes, I would buy it myself",,"Auto-completion, Refactoring, Debugging",50
30,0,0,"Java","C++","Python","Subversion","I am a researcher","Eclipse","Visual Studio","Spyder","IDEA","NetBeans","Qt Creator","CodeBlocks","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Code formatting, Debugging","Faster start up and overall performance, Better default configuration, Stability","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","From some other application","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort learning new editors","NetBeans","Yes, I have personally bought it","Yes, I would buy it myself",,"Refactoring, Test integration",100
40,2,4,"Python","Ruby","JS","git","Is primarily doing programming ","Sublime Text","Nano",,,"PHPEd","Dreamweaver","Vi","It supports many programming languages, Powerful editing functionality, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting, Interactive console/REPL","Advanced language intergration (eg auto-completion, refactoring, building), Ability to use it in terminal","It is extensively configured and I have lots of third-party plugins","It can be used from terminal","Directly through terminal","Other editors lack some features that my editor have","PyCharm, RubyMine","Yes, I have personally bought it","Yes, I would buy it myself",,"Refactoring, Debugging, Test integration",100
40,0,0,"python",,,"git","Is primarily doing programming ","pycharm","vim","sublime text",,"IDEA","PhpStorm","RubyMine","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates with version control system","Syntax highlighting, Auto-completion, Debugging","none","There is some configuration and couple of third-party plugins","It can be used from terminal","From the primary editor","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","sublime text","Yes, I have personally bought it","Yes, I would buy it myself",,"none",100
40,10,20,"javascript","php","css","git","Does programming as part of it's core activities ","vim",,,,"textmate",,,"Powerful editing functionality, There are lots of plugins available, It can be used in terminal","Auto-completion, Code formatting, Debugging","Faster start up and overall performance","It is extensively configured and I have lots of third-party plugins","It can be used from terminal","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","sublime text","No, but I tried trial versions","No",,"Code formatting, Documentation for language or libraries inside the editor",
40,0,20,"Node.js","Javascript","Coffeescript","GIT","Is primarily doing programming ","Sublime Text",,,,"Eclipse",,,"It supports many programming languages, Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Auto-completion, Code formatting","Tools to navigate the code (go to definition, find uses)","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better","Directly through terminal","Other editors lack some features that my editor have, Too much effort configuring new editors","Webstorm","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Debugging, Test integration",100
10,10,5,"PHP","Javascript","Python","Git with Gitlab","Sometimes supports other activities with programming or IT","Sublime Text","Netbeans",,,"Eclipse","Codebeans (University IDE)",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Auto-completion","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Just started getting comfortable int my current IDE.","Netbeans","Yes, I have personally bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Code formatting",100
5,20,20,"Java","PHP","Python","svn","I am a student or unemployed","Eclipse",,,,"IDEA","Visual Studio",,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It intergrates with version control system","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance","It is extensively configured and I have lots of third-party plugins","It's faster to use for small editing","From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","Visual Studio","No, but I tried trial versions","No",,"Test integration",
45,0,3,"Python","Java","Javascript","Git","Does programming as part of it's core activities ","Emacs","IDEA",,,"Eclipse",,,"It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Vim?","No, never","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Refactoring",100
30,1,4,"Javascript","C#",,"TFS","Sometimes supports other activities with programming or IT","Visual Studio","Sublime",,,"WebStorm","Eclipse",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates to build tool(s) that I use","Syntax highlighting, Code formatting, Documentation for language or libraries inside the editor","Faster start up and overall performance, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better, It's faster to use for small editing","From the primary editor","My workflow is too integrated into my current editor, Too much effort learning new editors","Sublime","Yes, my employer bought it","Yes, I would buy it myself",,"Code formatting, Code generation, Interactive console/REPL",500
10,5,10,"javascript","php","C#","git","Is primarily doing programming ","sublime","eclipse","visual studio",,"scite",,,"Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Better default configuration","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","scite","No, but I tried trial versions","No",,"Auto-completion, Code formatting, Refactoring",25
40,0,5,"C#","Javascript",,"TFS","Sometimes supports other activities with programming or IT","Visual Studio 2012",,,,"VIM","Eclipse","pyCharm","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality","Syntax highlighting, Auto-completion, Code formatting","Support for many programming languages","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From the primary editor","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","dunno","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion",25
20,10,20,"javascript","c","c#","git","Is primarily doing programming ","sublime text",,,,"phpstorm",,,"It supports many programming languages, Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all, Too much effort learning new editors","phpstorm","Yes, my employer bought it","Yes, I would buy it myself",,"Refactoring, Test integration",50
30,10,10,"javascript","java","asp","subversion","Sometimes supports other activities with programming or IT","PSPad","Eclipse",,,,,,"It supports many programming languages, Powerful editing functionality, It doesn't need to be configured much to be usable","Syntax highlighting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration with version control system","There is some configuration and couple of third-party plugins","No choice, forced to use Eclipse by work","From some other application","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort learning new editors","Notepad2","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Code formatting, Refactoring",
0,0,30,"C",,,"git","I am a student or unemployed","vim",,,,"eclipse",,,"Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting","Advanced language intergration (eg auto-completion, refactoring, building)","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better, It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort learning new editors","GNU emacs","No, but I tried trial versions","No",,"Refactoring, Code generation, Test integration",
50,0,10,"Java","Objective-C","JavaScript","git","Does programming as part of it's core activities ","IDEA","AppCode","WebStorm","Xcode","Sublime Text","RubyMine",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Refactoring, Debugging, Interactive console/REPL","Faster start up and overall performance, Ability to use it in terminal","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","From the primary editor","Other editors lack some features that my editor have","Sublime Text","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Code generation",100
0,10,10,"Objective-C","R","Haskell","git","I am a researcher","Xcode","Sublime Text","RStudio","Emacs","Vim",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates to build tool(s) that I use","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Rich plugins ecosystem","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors don't support my languages of choice very well","AppCode","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Refactoring, Code generation",50
0,10,10,"Objective-C","R","Haskell","git","I am a researcher","Xcode","Sublime Text","RStudio","Emacs","Vim",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates to build tool(s) that I use","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Rich plugins ecosystem","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors don't support my languages of choice very well","AppCode","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Refactoring, Code generation",50
2,0,0,"C",,,"Svn","Does programming as part of it's core activities ","Geany","Vi",,,"Emacs",,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Code formatting","Tools to navigate the code (go to definition, find uses), Integration with version control system","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Vim","Yes, my employer bought it","No",,"Code formatting",5
40,0,2,"Verilog","Python","Tcl","svn ","Does programming as part of it's core activities ","Emacs",,,,"LSE","EDT",,"It supports many programming languages, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","only use primary","Directly through terminal","I don't feel like switching at all, Other editors don't support my languages of choice very well, de-facto Verilog pre-processor is emacs lisp based","vi (?, would have to look around)","Yes, my employer bought it","No",,"Refactoring",
35,10,10,"Java",,,"SVN","Does programming as part of it's core activities ","Netbeans","IDEA",,,"Eclipse",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates with version control system","Auto-completion, Refactoring, Test integration","Rich plugins ecosystem","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor","From the primary editor","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","IDEA","No, but I tried trial versions","Yes, if my employer buys it for me",,"Interactive console/REPL",500
25,1,0,"Javascript","HTML",".Net","svn","Does programming as part of it's core activities ","Sublime","vim","Visual Studio","Text Wrangler","emacs","eclipse",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It intergrates with version control system","Auto-completion, Code formatting, Code generation","Tools to navigate the code (go to definition, find uses), Integration with version control system","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better, It can be used from terminal, It's faster to use for small editing","Directly through terminal","Too much effort learning new editors","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"Build tool(s) integration, version control integration",100
40,0,40,"Objective-C","Ruby","Javascript","git","Is primarily doing programming ","Emacs","Textmate","Sublime Text","Vim","Netbeans","Eclipse","Xcode","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","Vim","Yes, I have personally bought it","Yes, I would buy it myself",,"Debugging, Test integration, Documentation for language or libraries inside the editor","more than $500"
50,5,10,"php","java","javascript","svn","Is primarily doing programming ","Komodo","IDEA","mcedit","gedit","Eclipse","PhpStorm","WebStorm","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance, Integration with version control system, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","vim","No, but I tried trial versions","Yes, I would buy it myself",,"Refactoring, Debugging, Code generation",50
50,5,10,"Ruby","Python","go","git","Is primarily doing programming ","vim","sublimetext","eclipse",,"visual studio","wingide","netbeans","Powerful editing functionality, It starts up and works very fast, It is very configurable","Syntax highlighting, Debugging, Interactive console/REPL","Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","My workflow is too integrated into my current editor, Too much effort learning new editors, Too much effort configuring new editors","emacs","Yes, I have personally bought it","Yes, I would buy it myself",,"Test integration, Build tool(s) integration, Interactive console/REPL",50
40,0,50,"java",,,"git","Is primarily doing programming ","eclipse",,,,"intellij",,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Auto-completion, Code formatting, Debugging","Faster start up and overall performance","It's almost the same from the stock configuration",,"Directly through terminal","I don't feel like switching at all","intellij","No, never","No",,"Refactoring",
0,0,5,"PHP","JS","Shell script","Git","I am a student or unemployed","Netbeans","TextMate",,,"TextWrangler","Nano",,"It supports many programming languages, It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","Tools to navigate the code (go to definition, find uses), Rich plugins ecosystem, Configurability","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","Cost","TextMate","No, never","Yes, I would buy it myself",,"Code formatting, Refactoring, Build tool(s) integration",50
40,0,2,"Java","Python","PHP","Git","Sometimes supports other activities with programming or IT","Eclipse","Sublime Text",,,"Visual Studio","Notepad++","Emacs","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","Support for many programming languages, Faster start up and overall performance, Configurability","There is some configuration and couple of third-party plugins","It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor, Too much effort configuring new editors","Netbeans","Yes, I have personally bought it","No",,"Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor",25
30,5,5,"C","Haskell",,"perforce","Is primarily doing programming ","vim",,,,"eclipse","visual studio",,"Powerful editing functionality, There are lots of plugins available, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Configurability","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better","From some other application","I don't feel like switching at all","emacs","Yes, my employer bought it","No",,"Build tool(s) integration, Interactive console/REPL",50
5,1,1,"PHP","Java","Go","git","Does programming as part of it's core activities ","Netbeans","Sublime",,,"MadEdit",,,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It provides good tools for navigating the code (eg. go to definition, find uses)","Auto-completion, Code formatting, Debugging","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","I don't feel like switching at all","PHPStorm","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring, Debugging, Test integration",50
40,5,5,"Go","Javascript","CSS","svn","Does programming as part of it's core activities ","SublimeText","vim",,,"IDEA",,,"It supports many programming languages, It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Ability to use it in terminal","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing","Directly through terminal","Too much effort learning new editors, Too much effort configuring new editors","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"Code generation, Interactive console/REPL, Documentation for language or libraries inside the editor",50
